statement;wave;veracity;statements;url;satire
T7;11;T;A freak summer hailstorm hit the Mexican city of Guadalajara, where temperatures had regularly been above 90 degrees Fahrenheit, covering it in up to five feet of ice.;https://www.washingtonpost.com/world/2019/07/01/freak-summer-hailstorm-buries-mexican-city-under-five-feet-ice/;0
T8;11;T;Journalists have uncovered a secret Facebook group used by about 9,500 current and former Border Patrol agents that features sexist memes and jokes about migrants' deaths.;https://www.propublica.org/article/secret-border-patrol-facebook-group-agents-joke-about-migrant-deaths-post-sexist-memes;0
T9;11;T;President Trump requested that military equipment, including tanks and fighter jets, be included in the Fourth of July event in Washington, DC.;https://www.washingtonpost.com/climate-environment/trump-asks-for-military-tanks-on-the-mall-as-part-of-grandiose-july-fourth-event/2019/07/01/e9d274ee-9adc-11e9-8d0a-5edd7e2025b1_story.html;0
T10;11;T;An appeals court rebuked a judge overseeing the trial of a 16-year-old boy who filmed himself raping a girl for saying that the boy deserved leniency because he is 'from a good family.';https://www.nytimes.com/2019/07/02/nyregion/judge-james-troiano-rape.html;0
T1;12;T;A former Florida deputy has been charged with planting drugs and paraphernalia on drivers he pulled over, then arresting the innocent motorists.;https://www.washingtonpost.com/nation/2019/07/11/florida-cop-meth-drugs-arrests-scandal/;0
T2;12;T;In a series of tweets, President Trump said that several Democratic congresswomen of color should “go back and help fix the…crime infested [countries] from which they came.”;https://www.nbcnews.com/politics/donald-trump/trump-says-progressive-congresswomen-should-go-back-where-they-came-n1029676;0
T3;12;T;Retired billionaire Bernie Marcus has expressed sadness and anger at calls to boycott Home Depot, which he co-founded, based on his support for President Trump's re-election campaign.;https://finance.yahoo.com/news/home-depot-cofounder-bermie-marcus-shreds-trump-haters-in-new-facebook-post-213551135.html;0
T4;12;T;In the 1990s, Senator Chuck Schumer received several donations from Jeffrey Epstein, a billionaire former hedge fund manager accused of sex trafficking.;https://nypost.com/2019/07/10/schumer-got-thousands-in-donations-from-jeffrey-epstein/;0
T5;12;T;For the first time in company history, Huggies is featuring a black father and daughter on its diaper product packaging.;https://metro.co.uk/2019/07/14/huggies-diapers-uses-black-father-and-daughter-in-its-packaging-for-the-first-time-10287169/;0
T6;12;T;In a racist rant caught on video, a white woman can be seen telling a Spanish-speaking Puerto Rican woman that she should “be deported” and go back to her “own country.”;https://www.yahoo.com/lifestyle/i-hope-trump-deports-you-customer-threatens-puerto-rican-woman-for-speaking-spanish-183528034.html;0
T7;12;T;Republican Cabinet members and congressional leaders remained largely silent after President Trump urged four minority Democratic congresswomen to leave the country.;https://www.washingtonpost.com/nation/2019/07/15/republicans-trump-quiet-minority-congresswomen-leave/;0
T8;12;T;In leaked cables, the British ambassador to the U.S. characterized President Trump’s decision to abandon the Iran deal as an act of 'diplomatic vandalism' intended to spite former-President Obama.;https://www.bbc.com/news/uk-48978484;0
T9;12;T;Forbes magazine estimates that since his election, President Trump’s golf trips have cost taxpayers over $100 million, and would total over $340 million over two terms.;https://www.forbes.com/sites/chuckjones/2019/07/10/trumps-golf-trips-could-cost-taxpayers-over-340-million/;0
T10;12;T;In mid-July, Immigration and Customs Enforcement (ICE) planned to arrest and deport thousands of undocumented immigrants in the U.S. illegally.;https://www.nytimes.com/2019/07/11/us/politics/ice-families-deport.html;0
